packet_size,protocol,duration,network,label
1292,UDP,1755622391.89623,good,non-reel
1292,UDP,1755622391.89623,good,non-reel
180,UDP,1755622391.896266,good,non-reel
95,UDP,1755622391.89636,good,non-reel
1288,UDP,1755622391.89641,good,non-reel
1292,UDP,1755622391.896564,good,non-reel
1292,UDP,1755622391.896755,good,non-reel
1292,UDP,1755622391.896912,good,non-reel
1292,UDP,1755622391.897038,good,non-reel
1292,UDP,1755622391.897182,good,non-reel
1292,UDP,1755622391.897333,good,non-reel
1292,UDP,1755622391.897477,good,non-reel
1292,UDP,1755622391.897622,good,non-reel
99,UDP,1755622391.897724,good,non-reel
1292,UDP,1755622391.897778,good,non-reel
1292,UDP,1755622391.897948,good,non-reel
1292,UDP,1755622391.898071,good,non-reel
1292,UDP,1755622391.898338,good,non-reel
102,UDP,1755622391.89841,good,non-reel
1292,UDP,1755622391.898494,good,non-reel
1292,UDP,1755622391.898891,good,non-reel
1292,UDP,1755622391.898891,good,non-reel
1292,UDP,1755622391.898922,good,non-reel
1292,UDP,1755622391.899106,good,non-reel
94,UDP,1755622391.899182,good,non-reel
1292,UDP,1755622391.89924,good,non-reel
1292,UDP,1755622391.899391,good,non-reel
1292,UDP,1755622391.899528,good,non-reel
1292,UDP,1755622391.89968,good,non-reel
1292,UDP,1755622391.899842,good,non-reel
